instantTicketingRequired,nonHomogeneous,oneWay,numberOfBookableSeats,total,base,fareOption,travelerType,cabin,fareBasis,brandedFare,class,carrierCode,number,numberOfStops,departureIataCode,aircraftCode,bagageQuantity,arrivalIataCode,ltd_year,ltd_month,ltd_day,departure_year,departure_month,departure_day,departure_hour,departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
0,0,0,9,33,19,0,0,1,25,5,13,6,22,0,0,4,0.0,0,0,2,0,0,0,0,5,9,0,0,0,6,2
0,0,0,9,33,19,0,0,1,25,5,13,6,25,0,0,2,0.0,0,0,2,0,0,0,0,11,10,0,0,0,11,3
0,0,0,9,34,19,0,0,1,25,5,13,6,12,0,0,9,0.0,0,0,2,0,0,0,0,12,7,0,0,0,11,10
0,0,0,9,34,19,0,0,1,25,5,13,6,11,0,0,9,0.0,0,0,2,0,0,0,0,8,6,0,0,0,8,8
0,0,0,7,35,15,0,0,1,20,2,9,8,29,0,0,4,1.0,10,0,0,3,0,0,0,0,9,0,0,0,1,3
0,0,0,7,35,15,0,0,1,20,2,9,8,41,0,0,7,1.0,10,0,0,3,0,0,0,0,8,0,0,0,1,3
0,0,0,9,35,15,0,0,1,20,2,9,8,27,0,0,4,1.0,10,0,0,3,0,0,0,6,2,0,0,0,6,7
0,0,0,9,36,16,0,0,1,20,2,9,9,49,0,0,4,1.0,13,0,0,3,0,0,0,3,10,0,0,0,4,2
0,0,0,9,37,15,0,0,1,20,2,9,8,1,0,0,6,1.0,6,0,0,3,0,0,0,4,6,0,0,0,4,8
0,0,0,9,37,15,0,0,1,20,2,9,8,3,0,0,5,1.0,6,0,0,3,0,0,0,8,5,0,0,0,8,7
0,0,0,9,37,15,0,0,1,20,2,9,8,5,0,0,5,1.0,6,0,0,3,0,0,0,1,8,0,0,0,1,10
0,0,0,9,37,15,0,0,1,20,2,9,8,0,0,0,6,1.0,6,0,0,3,0,0,0,3,7,0,0,0,3,9
0,0,0,9,38,17,0,0,1,2,2,2,8,5,0,0,5,1.0,6,0,0,3,0,0,0,1,8,0,0,0,1,10
0,0,0,9,38,17,0,0,1,2,2,2,8,6,0,0,6,1.0,6,0,0,3,0,0,0,0,0,0,0,0,0,3
0,0,0,2,39,20,0,0,1,19,5,8,6,21,0,0,4,0.0,0,0,2,0,0,0,0,1,2,0,0,0,1,6
0,0,0,9,40,23,0,0,1,8,6,4,3,17,0,0,9,0.0,11,0,0,2,0,0,0,5,9,0,0,0,7,1
0,0,0,6,3,0,0,0,0,4,2,3,10,43,0,0,4,2.0,12,0,2,0,0,0,0,13,3,0,0,0,14,2
0,0,0,2,3,0,0,0,0,4,2,3,10,42,0,0,4,2.0,12,0,2,0,0,0,0,11,10,0,0,0,11,8
0,0,0,8,6,2,0,0,0,5,1,3,10,43,0,0,4,2.0,12,0,2,0,0,0,0,13,3,0,0,0,14,2
